t,ts,RO2HO2,RO2NO,RO2NO2,RO2,HO2,OH,NO3,J,NO,RO2NO3,concs,
112,112,2.8534892655997214e-11,9.579010902269835e-13,0,6.685118519795102e-12,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.006477931842380787,
113,113,2.8534892655997214e-11,9.579010902269835e-13,0,5.303470507653497e-12,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.005135938146558635,
114,114,2.8534892655997214e-11,9.579010902269835e-13,0,4.207374575853026e-12,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.004071962448674735,
115,115,2.8534892655997214e-11,9.579010902269835e-13,0,3.3378143028127985e-12,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.003228407233854548,
116,116,2.8534892655997214e-11,9.579010902269835e-13,0,2.6479704652827947e-12,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.002559607806029414,
117,117,2.8534892655997214e-11,9.579010902269835e-13,0,2.1007001882700076e-12,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.002029360046457555,
118,118,2.8534892655997214e-11,9.579010902269835e-13,0,1.666537090182627e-12,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.0016089603814280157,
119,119,2.8534892655997214e-11,9.579010902269835e-13,0,1.3221047468366793e-12,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.00127565183540257,
120,120,2.8534892655997214e-11,9.579010902269835e-13,0,1.0488580519141884e-12,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.0010113920338973355,
121,121,2.8534892655997214e-11,9.579010902269835e-13,0,8.320847060833101e-13,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.0008018764525982813,
122,122,2.8534892655997214e-11,9.579010902269835e-13,0,6.601130728529997e-13,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.0006357640295223609,
123,123,2.8534892655997214e-11,9.579010902269835e-13,0,5.236837504444494e-13,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.0005040632138592492,
124,124,2.8534892655997214e-11,9.579010902269835e-13,0,4.1545102376918266e-13,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.00039964521177061066,
125,125,2.8534892655997214e-11,9.579010902269835e-13,0,3.295873536172463e-13,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.0003168580762607311,
126,126,2.8534892655997214e-11,9.579010902269835e-13,0,2.614696078964892e-13,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.0002512207481776806,
127,127,2.8534892655997214e-11,9.579010902269835e-13,0,2.0743014092680903e-13,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.00019918048410327407,
128,128,2.8534892655997214e-11,9.579010902269835e-13,0,1.6455931834911277e-13,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.00015792053873066967,
129,129,2.8534892655997214e-11,9.579010902269835e-13,0,1.3054885514976914e-13,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.00012520769013345771,
130,130,2.8534892655997214e-11,9.579010902269835e-13,0,1.0356753176682498e-13,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,9.927135342041861e-5,
131,131,2.8534892655997214e-11,9.579010902269835e-13,0,8.216259655013023e-14,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,7.870773844230759e-5,
132,132,2.8534892655997214e-11,9.579010902269835e-13,0,6.518154585680666e-14,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,6.240386306796088e-5,
133,133,2.8534892655997214e-11,9.579010902269835e-13,0,5.1710070240273843e-14,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,4.947730848805164e-5,
134,134,2.8534892655997214e-11,9.579010902269835e-13,0,4.102282560951585e-14,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,3.922845523701283e-5,
135,135,2.8534892655997214e-11,9.579010902269835e-13,0,3.254437876051495e-14,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,3.110261428924715e-5,
136,136,2.8534892655997214e-11,9.579010902269835e-13,0,3.152707834561631e-6,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,4.7646181480943494e-7,0,0,2346.8879056703527,
137,137,2.8534892655997214e-11,9.579010902269835e-13,0,5.7527999690217726e-6,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,8.844178504861805e-7,0,0,4342.964567303737,
138,138,2.8534892655997214e-11,9.579010902269835e-13,0,9.222612510573054e-6,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.4279673477660163e-6,0,0,6931.840907027696,
139,139,2.8534892655997214e-11,9.579010902269835e-13,0,1.3392552855798586e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.1136169469061053e-6,0,0,10082.301732171389,
140,140,2.8534892655997214e-11,9.579010902269835e-13,0,1.8140704698619807e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.947995969448267e-6,0,0,13778.91135333323,
141,141,2.8534892655997214e-11,9.579010902269835e-13,0,2.3856668855694222e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,3.924148849811182e-6,0,0,17914.900104409877,
142,142,2.8534892655997214e-11,9.579010902269835e-13,0,2.9937376031029856e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,5.025396672441818e-6,0,0,22330.8409482753,
