"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"CH3COCO3H",7.63543864840043e-05,0.000104844522316825,4.57473780133569e-05,0.957878338789483,0,0.0169829319098249,0.0197729769315269,7.35551458011747e-14,1.74854601901182e-10
"GLYOOB",5.96487280507548e-05,2.87929927628302e-05,9.27971046280826e-05,0.983571951951803,1.37345881800432e-20,0.00591821729756501,0.000732332478945441,2.93506598305882e-11,5.20596643967888e-07
"BIACETOH",0.0321573597060862,0.00186983765477985,0.064695303695505,0.948570485067094,0,0.0237040647669211,0.0534602709630172,1.55771351693914e-11,3.19506925782476e-07
"CH3O2",1,1,1,0.927854892834639,1,0.579589188936711,0.828268033687294,0.00804490560928059,1
"HMVKBOOH",0.0149874311091531,0.028740285687222,0.000212712622847439,0.575680158771485,0,0.0268218772816825,0,2.13426968564368e-16,0
"C2H5OH",7.75229258979344e-05,5.13202797102555e-05,0.00010567247978303,0.959172683475902,0,0.00638662051401733,0.250457707799341,5.84543684770948e-15,4.47950484028492e-11
"GLYOOC",0.000274167609219064,0.00026468648151144,0.00028435320320013,0.956601007135455,7.07081184986386e-21,0.00668537349541577,0.00878798974734529,3.46674301923238e-13,1.60366151466741e-09
"MPRKAO2",0.000202868359485282,0.000172687969858492,0.000235291210902173,0.943165673099262,0,0.00883556088584393,0.0146466495789088,6.46179941925101e-14,0
"C4CHOBOOH",5.38233111950853e-05,4.58833818832429e-05,6.23531927347845e-05,0.940070292205953,0,0.0077185603362259,0,7.46972055561232e-18,0
"HIEB2O",7.05429500023595e-05,5.84467248836401e-05,8.35379482306585e-05,0.960458769288523,0,0.010395198864286,0.0142804833394361,1.23974066837534e-14,6.29936973315517e-11
"C51O",9.09685507408492e-05,8.72750530935332e-05,9.49364824643437e-05,0.953519161522229,0,0.0204050700502072,0.0190406444525815,0,7.98565510459381e-07
"PR1O2HNO3",4.47520362437879e-05,2.88116561077389e-05,6.18768177019144e-05,0.941359369801843,0,0.00713629233688663,0,6.96491917386386e-19,3.92373454321044e-15
"CO2C3PAN",0.000350817906569544,0.000343288460931902,0.000358906804697755,0.760639203161401,0,0.0204339854868286,0,1.38921453543883e-16,3.33566302977925e-14
"HOC3H6CO3",0.00013139877460971,8.09600697820068e-05,0.000185585173543322,0.959428602894468,0,0.0220985269131057,0.0289271329183449,1.32543436859635e-14,0
"HO2C4CO3",0.000146813713429956,8.52345743640771e-05,0.000212968302585453,0.957364489866141,1.68965585515187e-21,0.0232215799676886,0.0435737824972538,1.29337441970875e-14,0
"CO24C53O2",0.000130079692986296,0,0.000269824560769771,0.920827652757666,0,0.00534980099651861,0,1.19913789995585e-18,1.32438499709454e-18
