name,PAN,Carb. Acid,Per. Acid,Hydro peroxide,Nitrate,Aldehyde,Ketone,Alcohol,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,No functional,nogroups
CO2C3PAN,1,0,0,0,1,0,2,0,0,0,0,21,0
CO3C4CHO,0,0,0,0,0,1,1,0,0,0,0,11,0
IC3H7OOH,0,0,0,0,0,0,0,0,0,0,0,7,0
HO1C4OOH,0,0,0,1,0,0,0,0,0,0,0,7,0
ALCOCH2OOH,0,0,0,0,0,1,1,0,0,0,0,11,0
NBUTOLBNO3,0,0,0,0,1,0,0,0,0,0,0,15,0
NC71O2,0,0,0,0,1,0,2,0,0,0,0,29,0
BUTALO2H,0,0,0,0,0,1,0,0,0,0,0,10,0
C89NO3,0,0,0,0,1,1,0,0,0,0,0,22,0
C720OH,0,0,0,0,0,0,0,1,0,0,0,12,0
C84OOH,0,0,0,0,0,0,2,0,0,0,0,20,0
C810O,0,0,0,0,0,2,0,0,0,0,0,21,0
C98NO3,0,0,0,0,1,0,2,0,0,0,0,32,0
NC4H9NO3,0,0,0,0,1,0,0,0,0,0,0,12,0
NC3H7O2,0,0,0,0,0,0,0,0,0,1,0,7,0
CO2C4CO3H,0,0,1,0,0,0,2,0,0,0,0,15,0
NC102O2,0,0,0,0,1,0,2,0,0,0,0,36,0
NO3CH2CO2H,0,0,0,0,1,0,1,0,0,0,0,15,0
CO,0,0,0,0,0,0,0,0,0,0,0,0,1
C4OHCO3,0,1,0,0,0,0,1,1,0,0,1,16,0
CL,0,0,0,0,0,0,0,0,0,0,0,0,1
CHOC3COO2,0,0,0,0,0,1,1,0,0,0,0,14,0
C109O,0,0,0,0,0,1,1,0,1,0,0,23,0
C720O2,0,0,0,0,0,0,0,1,0,0,0,17,0
HO3C3CO3H,0,0,1,0,0,0,1,1,0,0,0,13,0
NC72O2,0,0,0,0,1,1,2,0,0,0,0,33,0
HO2C3CO3,0,1,0,0,0,0,1,0,0,0,0,15,0
HOCH2CH2O,0,0,0,0,0,0,0,0,1,0,0,6,0
MEKCOOH,0,0,0,1,0,0,1,0,0,0,0,10,0
NAPINAOOH,0,0,0,0,1,0,0,0,0,0,0,26,0
C516O,0,1,0,0,0,0,2,0,0,0,0,20,0
C51OOH,0,0,0,0,0,0,1,0,0,0,0,14,0
C722O2,0,1,0,0,0,1,1,0,0,0,0,24,0
HO3C5OOH,0,0,0,1,0,0,0,1,0,0,0,10,0
HOC3H6OH,0,0,0,0,0,0,0,0,0,0,0,5,0
HO14CO2C4,0,0,0,0,0,0,1,0,0,0,0,10,0
HO13CO4C5,0,0,0,0,0,0,1,1,0,0,0,13,0
PINONIC,0,0,0,0,0,0,2,0,0,0,0,23,0
NC71OOH,0,0,0,0,1,0,2,0,0,0,0,27,0
C4OHCO3H,0,0,1,0,0,0,1,1,0,0,0,14,0
HO2C3CO2H,0,1,0,0,0,0,1,1,0,0,0,12,0
